typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20210101","2021","1","202101","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","6","false","99.74","false","0","false",,"5945588.609","5945588.609","0","false","true",
"C","M","20210101","2021","1","202101","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","6","false","99.74","false","0","false",,"5945588.609","5945588.609","0","false","true",
"C","M","20210201","2021","2","202102","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","81.03","false","0","false",,"4708525.582","4708525.582","0","false","true",
"C","M","20210201","2021","2","202102","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","81.03","false","0","false",,"4708525.582","4708525.582","0","false","true",
"C","M","20210301","2021","3","202103","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","92.96","false","0","false",,"5154970.319","5154970.319","0","false","true",
"C","M","20210301","2021","3","202103","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","92.96","false","0","false",,"5154970.319","5154970.319","0","false","true",
"C","M","20210401","2021","4","202104","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","7","false","107","false","0","false",,"6134881.776","6134881.776","0","false","true",
"C","M","20210401","2021","4","202104","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","7","false","107","false","0","false",,"6134881.776","6134881.776","0","false","true",
"C","M","20210501","2021","5","202105","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","8","false","79.23","false","0","false",,"4777091.777","4777091.777","0","false","true",
"C","M","20210501","2021","5","202105","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H5","HS","true","710812","Metals; gold, non-monetary, unwrought (but not powder)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.001","false","15","g","1","false","0.8","false","0","false",,"359.501","359.501","0","false","true",
